family,level,n,ATE,t_stat,p_value,ci_low_95,ci_high_95,cohen_dz
Gemma-2-2B,L0_neutral,300,0.0556776221593221,2.317145123742941,0.021171183555913242,0.007146851420402525,0.101861280242602,0.13378043609444157
Gemma-2-2B,L1_weak,300,0.018856388727823893,0.8394742558565953,0.40187392164291036,-0.024154977560043332,0.06283680454889932,0.048467068759656604
Gemma-2-2B,L2_medium,300,-0.05493647575378418,-2.5191350533706465,0.012285733001968415,-0.09740233778953553,-0.012371912479400648,-0.1454423301188565
Gemma-2-2B,L3_strong,300,0.13150508880615233,6.469169745710567,4.018021195061244e-10,0.09091898314158123,0.17050028959910074,0.37349768941193784
Llama-3.2-1B,L0_neutral,300,-0.13553653081258138,-9.033008998162849,2.12116194969439e-17,-0.16505777247746783,-0.10698645289738976,-0.5215210176681634
Llama-3.2-1B,L1_weak,300,0.023170166015625,3.75938193676404,0.00020484399036112765,0.010909179687500001,0.03504803466796875,0.21704801731773352
Llama-3.2-1B,L2_medium,300,-0.030638427734375,-4.7364503397117135,3.365023936949316e-06,-0.04342319742838542,-0.017984039306640633,-0.27345908786358525
Llama-3.2-1B,L3_strong,300,-0.19548990885416667,-36.339483524531495,1.0370443096354651e-111,-0.20605823771158854,-0.18512042744954427,-2.0980610595100226
Qwen2.5-1.5B,L0_neutral,300,0.030520260334014893,2.631603661101681,0.00893918660440929,0.007871873239676152,0.053248368859291066,0.15193570821374602
Qwen2.5-1.5B,L1_weak,300,-0.22002792358398438,-67.74372607727373,1.829196976192697e-183,-0.22632241694132488,-0.21355141321818033,-3.9111858486622264
Qwen2.5-1.5B,L2_medium,300,-0.22243631998697916,-82.02542691040568,4.9235322028036306e-207,-0.22755560302734376,-0.21710637919108072,-4.735740230711669
Qwen2.5-1.5B,L3_strong,300,0.24200113932291667,28.166251681086788,4.084410081793524e-86,0.2248029073079427,0.2585600891113281,1.6261792990138204
